prueba,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
Backprop,0.6037528,0.6142766,0.6141884,0.6042763999999999,0.612227,0.6122759999999999,0.608587,0.6057533999999999,0.6081068,0.6030667999999999
BFS,0.0510047999999999,0.0507654,0.0509851999999999,0.0508675999999999,0.0507443999999999,0.0507933999999999,0.0507975999999999,0.0514429999999999,0.0514038,0.0519078
CFD,1.232693,1.240239,1.234002,1.2440274,1.2435626,1.233624,1.2431202,1.2375664,1.2339543999999998,1.2389215999999998
Gaussian,8.598303,8.597043,8.6019934,8.594894,8.595287399999998,8.5990366,8.5970444,8.595244,8.595377,8.5994146
HeartWall,1.0423014,1.0595536,1.0186232,1.0362128,1.0423014,1.0403414,1.0584378,1.0366635999999998,1.0637004,1.0404324
HotSpot,0.021553,0.0205842,0.0210112,0.0206178,0.0214731999999999,0.0206878,0.0209803999999999,0.0208026,0.0208697999999999,0.0219673999999999
LavaMD,3.5052766,3.5072394,3.5077056,3.5058506,3.5085931999999995,3.5074606,3.5085596,3.5069006,3.508379,3.505873
LU,0.0466662,0.0447117999999999,0.0444961999999999,0.0450744,0.0450869999999999,0.0444444,0.0445018,0.0434279999999999,0.0455602,0.0451261999999999
Myocyte,0.3321206,0.3253361999999999,0.3270512,0.328958,0.3352985999999999,0.3323263999999999,0.335398,0.3307821999999999,0.3310552,0.3354092
NN,0.0059177999999999,0.0056825999999999,0.0056895999999999,0.0057091999999999,0.0055524,0.0056041999999999,0.0058324,0.0057204,0.0058226,0.0057834
NW,0.0906122,0.0904176,0.0921353999999999,0.0906892,0.0908684,0.0906233999999999,0.0913065999999999,0.0922907999999999,0.0919898,0.0919799999999999
SRAD_V1,1.3659758,1.3540645999999998,1.3367382,1.3543291999999998,1.3958951999999998,1.3789901999999998,1.381919,1.382647,1.380302,1.3992972
SRAD_v2,0.1091832,0.1084943999999999,0.1088877999999999,0.1068451999999999,0.1070118,0.1080912,0.1083642,0.1070076,0.1070089999999999,0.1079064
StreamCluster,0.7847658,0.7851186,0.7812083999999999,0.7781549999999999,0.779247,0.7788662,0.7817712,0.786982,0.7922767999999999,0.7930944
ParticleFilter,3.21282,3.205082,3.204794,3.210313,3.207193,3.206284,3.201057,3.206289,3.215148,3.218376
PathFinder,0.007651,0.0058688,0.005917799999999999,0.0059108,0.0057652,0.0058296,0.005549599999999999,0.0060564,0.005832400000000001,0.005907999999999999
