prueba,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
Backprop,0.6022379999999999,0.6076686,0.6102334,0.6020728,0.609238,0.610533,0.6095782,0.6031143999999999,0.605486,0.6124132
BFS,0.2037224,0.201978,0.2013858,0.2014053999999999,0.2019654,0.2009741999999999,0.2014823999999999,0.2013984,0.2010344,0.2012416
CFD,2.43453,2.433441,2.432206,2.431696,2.431408,2.433253,2.433841,2.435718,2.433592,2.435533
Gaussian,14.396369399999998,14.3978128,14.4023572,14.4005442,14.3973592,14.402912999999998,14.396249,14.394305799999998,14.394394,14.3949764
HeartWall,1.0365908,1.047669,1.036756,1.0494988,1.0638936,1.0466904,1.0638852,1.0449446,1.0269126,1.0493168
HotSpot,0.0558025999999999,0.0557143999999999,0.0551096,0.055503,0.0548086,0.0550704,0.0555911999999999,0.0550185999999999,0.0554063999999999,0.0544222
LavaMD,9.9488382,9.944704,9.9483776,9.948595999999998,9.946629,9.946986,9.9531012,9.949387,9.9461726,9.952206599999998
LU,0.111209,0.1096647999999999,0.1098383999999999,0.1097249999999999,0.1101226,0.1097585999999999,0.1092587999999999,0.1097011999999999,0.1097543999999999,0.1062977999999999
Myocyte,0.5107634,0.5016997999999999,0.505316,0.5087306,0.5070548,0.5058634,0.5019966,0.5053481999999999,0.5034848,0.5112239999999999
NN,0.0060144,0.0049055999999999,0.004977,0.0051464,0.0056854,0.0056783999999999,0.0056658,0.0057302,0.005894,0.0056532
NW,0.2226643999999999,0.221207,0.2212265999999999,0.2211887999999999,0.2200925999999999,0.2213274,0.2186716,0.2207758,0.2215528,0.2203838
SRAD_V1,3.4388424,3.4190323999999994,3.4666828,3.4670314,3.4556298,3.4721231999999995,3.4705314,3.4616694,3.4602428,3.4759942
SRAD_v2,0.7606788,0.690781,0.6966287999999999,0.6693918,0.7787164,0.7026697999999999,0.6706224,0.6887188,0.620235,0.7656362
StreamCluster,3.1282734,3.122469,3.1277736,3.1313828,3.12928,3.1254859999999995,3.1184202,3.1202724,3.1203129999999994,3.1177733999999995
ParticleFilter,17.0927246,16.893807,16.878366399999997,16.702047599999997,17.1107916,17.066156799999998,17.0703904,16.687150199999998,16.6387928,16.780962799999998
PathFinder,0.004993,0.003737,0.003821,0.003632,0.003652,0.003246,0.003649,0.003785,0.003671,0.003677
